"";"n";"lambda";"p";"df";"method";"cov_2norm"
"1091";1000;27;5;10;"PCA";0,0558430436058363
"1092";1000;27;5;10;"SPCA";0,0847807871854065
"1093";1000;28;5;3;"PCA";0,747553131720622
"1094";1000;28;5;3;"SPCA";0,0777812377962287
"1095";1000;28;5;5;"PCA";0,119984912995869
"1096";1000;28;5;5;"SPCA";0,0815342286496573
"1097";1000;28;5;10;"PCA";0,0561430133742371
"1098";1000;28;5;10;"SPCA";0,0763994294990756
"1099";1000;29;5;3;"PCA";0,727432295172068
"1100";1000;29;5;3;"SPCA";0,0773357806108901
"1101";1000;29;5;5;"PCA";0,111741533702543
"1102";1000;29;5;5;"SPCA";0,0761981058991943
"1103";1000;29;5;10;"PCA";0,0569886916222629
"1104";1000;29;5;10;"SPCA";0,0800713289485044
"1105";1000;30;5;3;"PCA";0,855423522164565
"1106";1000;30;5;3;"SPCA";0,0718166186940699
"1107";1000;30;5;5;"PCA";0,096179453722629
"1108";1000;30;5;5;"SPCA";0,0727101938672572
"1109";1000;30;5;10;"PCA";0,0534718172511786
"1110";1000;30;5;10;"SPCA";0,0783187682982683
"1111";1000;31;5;3;"PCA";0,577708510597593
"1112";1000;31;5;3;"SPCA";0,075225590653101
"1113";1000;31;5;5;"PCA";0,0936675876085523
"1114";1000;31;5;5;"SPCA";0,0783244977575013
"1115";1000;31;5;10;"PCA";0,0504223931827876
"1116";1000;31;5;10;"SPCA";0,0689534336266615
"1117";1000;32;5;3;"PCA";0,679725516145905
"1118";1000;32;5;3;"SPCA";0,0704857248033104
"1119";1000;32;5;5;"PCA";0,117402305113756
"1120";1000;32;5;5;"SPCA";0,0660269150697428
"1121";1000;32;5;10;"PCA";0,048184422923576
"1122";1000;32;5;10;"SPCA";0,0716737892385933
"1123";1000;33;5;3;"PCA";0,631821158645029
"1124";1000;33;5;3;"SPCA";0,0730541999132989
"1125";1000;33;5;5;"PCA";0,0919825622120061
"1126";1000;33;5;5;"SPCA";0,0671606466072092
"1127";1000;33;5;10;"PCA";0,0503555096280313
"1128";1000;33;5;10;"SPCA";0,0689888041292716
"1129";1000;34;5;3;"PCA";0,630151186843391
"1130";1000;34;5;3;"SPCA";0,068435473044667
"1131";1000;34;5;5;"PCA";0,0825678865059578
"1132";1000;34;5;5;"SPCA";0,0670391622798714
"1133";1000;34;5;10;"PCA";0,0448208765986023
"1134";1000;34;5;10;"SPCA";0,0662955221166578
"1135";1000;35;5;3;"PCA";0,601989884763834
"1136";1000;35;5;3;"SPCA";0,0684817193949904
"1137";1000;35;5;5;"PCA";0,085460775715965
"1138";1000;35;5;5;"SPCA";0,0649532070561839
"1139";1000;35;5;10;"PCA";0,0438669307694857
"1140";1000;35;5;10;"SPCA";0,0682107599612253
"1141";1000;36;5;3;"PCA";0,550228437400932
"1142";1000;36;5;3;"SPCA";0,0628192367312292
"1143";1000;36;5;5;"PCA";0,0851193867133711
"1144";1000;36;5;5;"SPCA";0,062129144206721
"1145";1000;36;5;10;"PCA";0,0434415155183696
"1146";1000;36;5;10;"SPCA";0,062635032178876
"1147";1000;37;5;3;"PCA";0,552755351478031
"1148";1000;37;5;3;"SPCA";0,0609534980409766
"1149";1000;37;5;5;"PCA";0,0897883533486755
"1150";1000;37;5;5;"SPCA";0,0649838498808349
"1151";1000;37;5;10;"PCA";0,0430825269743429
"1152";1000;37;5;10;"SPCA";0,0598401201291623
"1153";1000;38;5;3;"PCA";0,508374124884922
"1154";1000;38;5;3;"SPCA";0,0580201895826163
"1155";1000;38;5;5;"PCA";0,0754741882007811
"1156";1000;38;5;5;"SPCA";0,0601214747927944
"1157";1000;38;5;10;"PCA";0,0390312964169364
"1158";1000;38;5;10;"SPCA";0,0590178993901672
"1159";1000;39;5;3;"PCA";0,570641884992093
"1160";1000;39;5;3;"SPCA";0,0543570577244578
"1161";1000;39;5;5;"PCA";0,0804690445559951
"1162";1000;39;5;5;"SPCA";0,0570148254871511
"1163";1000;39;5;10;"PCA";0,0397382950085491
"1164";1000;39;5;10;"SPCA";0,0556925921250886
"1165";1000;40;5;3;"PCA";0,391810074210082
"1166";1000;40;5;3;"SPCA";0,0550569251586086
"1167";1000;40;5;5;"PCA";0,0829351539514867
"1168";1000;40;5;5;"SPCA";0,0598344102959619
"1169";1000;40;5;10;"PCA";0,0391174098676859
"1170";1000;40;5;10;"SPCA";0,0578776747223712
"1171";10000;2;5;3;"PCA";117,024820009109
"1172";10000;2;5;3;"SPCA";3,19089636090108
"1173";10000;2;5;5;"PCA";6,90067459307609
"1174";10000;2;5;5;"SPCA";3,33678451761721
"1175";10000;2;5;10;"PCA";2,79256882795482
"1176";10000;2;5;10;"SPCA";3,00837906121091
"1177";10000;3;5;3;"PCA";49,5295062646053
"1178";10000;3;5;3;"SPCA";1,26500533021399
"1179";10000;3;5;5;"PCA";2,29071197481555
"1180";10000;3;5;5;"SPCA";1,26106043782661
"1181";10000;3;5;10;"PCA";1,17373484749509
"1182";10000;3;5;10;"SPCA";1,24839631862845
"1183";10000;4;5;3;"PCA";21,7160826521034
"1184";10000;4;5;3;"SPCA";0,720641631970859
"1185";10000;4;5;5;"PCA";1,4210229460003
"1186";10000;4;5;5;"SPCA";0,748952446809262
"1187";10000;4;5;10;"PCA";0,616404415927778
"1188";10000;4;5;10;"SPCA";0,750927268059655
"1189";10000;5;5;3;"PCA";29,0637613507536
"1190";10000;5;5;3;"SPCA";0,538783123534111
"1191";10000;5;5;5;"PCA";0,932610937791282
"1192";10000;5;5;5;"SPCA";0,519507625891617
"1193";10000;5;5;10;"PCA";0,447162465120506
"1194";10000;5;5;10;"SPCA";0,502071351554678
"1195";10000;6;5;3;"PCA";30,8745060721388
"1196";10000;6;5;3;"SPCA";0,43211210479321
"1197";10000;6;5;5;"PCA";0,83052961194158
"1198";10000;6;5;5;"SPCA";0,39940019656383
"1199";10000;6;5;10;"PCA";0,362032206444268
"1200";10000;6;5;10;"SPCA";0,402936654433467
"1201";10000;7;5;3;"PCA";23,1323329614891
"1202";10000;7;5;3;"SPCA";0,383532299082137
"1203";10000;7;5;5;"PCA";0,581768669214347
"1204";10000;7;5;5;"SPCA";0,346040129994601
"1205";10000;7;5;10;"PCA";0,278692707657387
"1206";10000;7;5;10;"SPCA";0,360655861054744
"1207";10000;8;5;3;"PCA";12,4423346892213
"1208";10000;8;5;3;"SPCA";0,305667301684521
"1209";10000;8;5;5;"PCA";0,491210975849435
"1210";10000;8;5;5;"SPCA";0,29140475913758
"1211";10000;8;5;10;"PCA";0,244732025202006
"1212";10000;8;5;10;"SPCA";0,30210447489014
"1213";10000;9;5;3;"PCA";10,7394444519569
"1214";10000;9;5;3;"SPCA";0,267892580052961
"1215";10000;9;5;5;"PCA";0,451173899690169
"1216";10000;9;5;5;"SPCA";0,263668452324306
"1217";10000;9;5;10;"PCA";0,21657289864831
"1218";10000;9;5;10;"SPCA";0,272814901488568
"1219";10000;10;5;3;"PCA";13,348910346085
"1220";10000;10;5;3;"SPCA";0,232039636034975
"1221";10000;10;5;5;"PCA";0,396424184858114
"1222";10000;10;5;5;"SPCA";0,23815279909481
"1223";10000;10;5;10;"PCA";0,185350695909901
"1224";10000;10;5;10;"SPCA";0,227526495424191
"1225";10000;11;5;3;"PCA";8,22191028908141
"1226";10000;11;5;3;"SPCA";0,213774200542192
"1227";10000;11;5;5;"PCA";0,40883653507983
"1228";10000;11;5;5;"SPCA";0,219540812824052
"1229";10000;11;5;10;"PCA";0,157221753599099
"1230";10000;11;5;10;"SPCA";0,211906976489121
"1231";10000;12;5;3;"PCA";4,44435384876461
"1232";10000;12;5;3;"SPCA";0,184202943634166
"1233";10000;12;5;5;"PCA";0,293610599642753
"1234";10000;12;5;5;"SPCA";0,194901476277511
"1235";10000;12;5;10;"PCA";0,138041400955931
"1236";10000;12;5;10;"SPCA";0,181246504495469
"1237";10000;13;5;3;"PCA";5,84457733282757
"1238";10000;13;5;3;"SPCA";0,164417310145324
"1239";10000;13;5;5;"PCA";0,263609312288874
"1240";10000;13;5;5;"SPCA";0,167257987400058
"1241";10000;13;5;10;"PCA";0,123400649942536
"1242";10000;13;5;10;"SPCA";0,167966284587067
"1243";10000;14;5;3;"PCA";7,51326130125617
"1244";10000;14;5;3;"SPCA";0,158312246636406
"1245";10000;14;5;5;"PCA";0,272004178498797
"1246";10000;14;5;5;"SPCA";0,159190181735627
"1247";10000;14;5;10;"PCA";0,1221691604643
"1248";10000;14;5;10;"SPCA";0,15582108982131
"1249";10000;15;5;3;"PCA";4,7907979085038
"1250";10000;15;5;3;"SPCA";0,152984279753637
"1251";10000;15;5;5;"PCA";0,222523841732758
"1252";10000;15;5;5;"SPCA";0,144806803863308
"1253";10000;15;5;10;"PCA";0,11552720937576
"1254";10000;15;5;10;"SPCA";0,151971076835009
"1255";10000;16;5;3;"PCA";13,8599127451583
"1256";10000;16;5;3;"SPCA";0,140696333720855
"1257";10000;16;5;5;"PCA";0,207571773880503
"1258";10000;16;5;5;"SPCA";0,134093588071169
"1259";10000;16;5;10;"PCA";0,102263645145469
"1260";10000;16;5;10;"SPCA";0,144281454656372
"1261";10000;17;5;3;"PCA";4,93264664324651
"1262";10000;17;5;3;"SPCA";0,125261289162028
"1263";10000;17;5;5;"PCA";0,196833545460485
"1264";10000;17;5;5;"SPCA";0,1292172556753
"1265";10000;17;5;10;"PCA";0,0960338680400305
"1266";10000;17;5;10;"SPCA";0,12908041820583
"1267";10000;18;5;3;"PCA";5,20513468873209
"1268";10000;18;5;3;"SPCA";0,119953277837561
"1269";10000;18;5;5;"PCA";0,173285549229229
"1270";10000;18;5;5;"SPCA";0,117801848736407
"1271";10000;18;5;10;"PCA";0,0946495080958293
"1272";10000;18;5;10;"SPCA";0,127831084130456
"1273";10000;19;5;3;"PCA";9,19019955891848
"1274";10000;19;5;3;"SPCA";0,117413553399559
"1275";10000;19;5;5;"PCA";0,184315911981923
"1276";10000;19;5;5;"SPCA";0,117804373461121
"1277";10000;19;5;10;"PCA";0,0862822661776022
"1278";10000;19;5;10;"SPCA";0,117152073482033
"1279";10000;20;5;3;"PCA";3,79036060085836
"1280";10000;20;5;3;"SPCA";0,113162086687962
"1281";10000;20;5;5;"PCA";0,189057151066665
"1282";10000;20;5;5;"SPCA";0,111855594928863
"1283";10000;20;5;10;"PCA";0,0812657194935868
"1284";10000;20;5;10;"SPCA";0,110108094918072
"1285";10000;21;5;3;"PCA";4,3055116703656
"1286";10000;21;5;3;"SPCA";0,105449729486443
"1287";10000;21;5;5;"PCA";0,164608817564178
"1288";10000;21;5;5;"SPCA";0,105354509584677
"1289";10000;21;5;10;"PCA";0,0747432821895227
"1290";10000;21;5;10;"SPCA";0,101335904663148
"1291";10000;22;5;3;"PCA";2,45252217751984
"1292";10000;22;5;3;"SPCA";0,0948413906196379
"1293";10000;22;5;5;"PCA";0,162988346175285
"1294";10000;22;5;5;"SPCA";0,0981241454126215
"1295";10000;22;5;10;"PCA";0,0703145483103427
"1296";10000;22;5;10;"SPCA";0,101296220744775
"1297";10000;23;5;3;"PCA";3,31911958107592
"1298";10000;23;5;3;"SPCA";0,0935581766415006
"1299";10000;23;5;5;"PCA";0,151861010718738
"1300";10000;23;5;5;"SPCA";0,100455084473411
"1301";10000;23;5;10;"PCA";0,0674495442917988
"1302";10000;23;5;10;"SPCA";0,102820798533351
"1303";10000;24;5;3;"PCA";2,40227225527482
"1304";10000;24;5;3;"SPCA";0,0860251648045896
"1305";10000;24;5;5;"PCA";0,154189858314612
"1306";10000;24;5;5;"SPCA";0,0900914425987664
"1307";10000;24;5;10;"PCA";0,0648027725018543
"1308";10000;24;5;10;"SPCA";0,0951619953675956
"1309";10000;25;5;3;"PCA";2,78189000245731
"1310";10000;25;5;3;"SPCA";0,087546268146077
"1311";10000;25;5;5;"PCA";0,124482954620333
"1312";10000;25;5;5;"SPCA";0,0857453794104643
"1313";10000;25;5;10;"PCA";0,06393915020166
"1314";10000;25;5;10;"SPCA";0,0911963933616823
"1315";10000;26;5;3;"PCA";2,87919926393468
"1316";10000;26;5;3;"SPCA";0,0888514725767137
"1317";10000;26;5;5;"PCA";0,12934702543075
"1318";10000;26;5;5;"SPCA";0,0849669508078329
"1319";10000;26;5;10;"PCA";0,062218782975211
"1320";10000;26;5;10;"SPCA";0,0848665867286166
"1321";10000;27;5;3;"PCA";3,26726447419615
"1322";10000;27;5;3;"SPCA";0,0845648415807972
"1323";10000;27;5;5;"PCA";0,122944230363044
"1324";10000;27;5;5;"SPCA";0,0806991847409642
"1325";10000;27;5;10;"PCA";0,0566735656597683
"1326";10000;27;5;10;"SPCA";0,0813824638173304
"1327";10000;28;5;3;"PCA";2,64334240302403
"1328";10000;28;5;3;"SPCA";0,0802111790647783
"1329";10000;28;5;5;"PCA";0,114636167428254
"1330";10000;28;5;5;"SPCA";0,0793799804696288
"1331";10000;28;5;10;"PCA";0,0566622908452556
"1332";10000;28;5;10;"SPCA";0,0804365634976507
"1333";10000;29;5;3;"PCA";1,80658046461257
"1334";10000;29;5;3;"SPCA";0,0786633801986224
"1335";10000;29;5;5;"PCA";0,114804777975611
"1336";10000;29;5;5;"SPCA";0,0797547288658077
"1337";10000;29;5;10;"PCA";0,0533649701598025
"1338";10000;29;5;10;"SPCA";0,0727776925524535
"1339";10000;30;5;3;"PCA";2,40289385604066
"1340";10000;30;5;3;"SPCA";0,0769449405313167
"1341";10000;30;5;5;"PCA";0,123528064565407
"1342";10000;30;5;5;"SPCA";0,0730124153702376
"1343";10000;30;5;10;"PCA";0,0516611810315748
"1344";10000;30;5;10;"SPCA";0,0774186032366032
"1345";10000;31;5;3;"PCA";2,14491297731894
"1346";10000;31;5;3;"SPCA";0,0747478100946487
"1347";10000;31;5;5;"PCA";0,15195877654953
"1348";10000;31;5;5;"SPCA";0,0718657444308641
"1349";10000;31;5;10;"PCA";0,0512565463302261
"1350";10000;31;5;10;"SPCA";0,0758416776638751
"1351";10000;32;5;3;"PCA";2,2423503481541
"1352";10000;32;5;3;"SPCA";0,0703225587411677
"1353";10000;32;5;5;"PCA";0,103981991202055
"1354";10000;32;5;5;"SPCA";0,0671011236074379
"1355";10000;32;5;10;"PCA";0,0476865440846297
"1356";10000;32;5;10;"SPCA";0,0722325787512362
"1357";10000;33;5;3;"PCA";2,72643564275131
"1358";10000;33;5;3;"SPCA";0,0691511656168474
"1359";10000;33;5;5;"PCA";0,0989302054857509
"1360";10000;33;5;5;"SPCA";0,068538857639959
"1361";10000;33;5;10;"PCA";0,0458352416889145
"1362";10000;33;5;10;"SPCA";0,0659374673141695
"1363";10000;34;5;3;"PCA";3,26091036113821
"1364";10000;34;5;3;"SPCA";0,064029114120602
"1365";10000;34;5;5;"PCA";0,0968472153559587
"1366";10000;34;5;5;"SPCA";0,0650168513374156
"1367";10000;34;5;10;"PCA";0,0452722746585528
"1368";10000;34;5;10;"SPCA";0,0655545040666332
"1369";10000;35;5;3;"PCA";1,71084625224654
"1370";10000;35;5;3;"SPCA";0,0672298403975874
"1371";10000;35;5;5;"PCA";0,0955359314882079
"1372";10000;35;5;5;"SPCA";0,0685511040193581
"1373";10000;35;5;10;"PCA";0,0439870184374535
"1374";10000;35;5;10;"SPCA";0,0670357325617778
"1375";10000;36;5;3;"PCA";4,8789285037477
"1376";10000;36;5;3;"SPCA";0,0614952233974716
"1377";10000;36;5;5;"PCA";0,0872402437696173
"1378";10000;36;5;5;"SPCA";0,0601726322711851
"1379";10000;36;5;10;"PCA";0,0446560206669
"1380";10000;36;5;10;"SPCA";0,064888456893333
"1381";10000;37;5;3;"PCA";1,71178544230146
"1382";10000;37;5;3;"SPCA";0,0609123673627954
"1383";10000;37;5;5;"PCA";0,106670123166689
"1384";10000;37;5;5;"SPCA";0,0623399296143544
"1385";10000;37;5;10;"PCA";0,0435588327065001
"1386";10000;37;5;10;"SPCA";0,0614385771535343
"1387";10000;38;5;3;"PCA";1,6078623415016
"1388";10000;38;5;3;"SPCA";0,0608835668453921
"1389";10000;38;5;5;"PCA";0,0886409623010184
"1390";10000;38;5;5;"SPCA";0,0579326806972996
"1391";10000;38;5;10;"PCA";0,0428698675308246
"1392";10000;38;5;10;"SPCA";0,060652084484838
"1393";10000;39;5;3;"PCA";1,79521835546452
"1394";10000;39;5;3;"SPCA";0,0590877125877755
"1395";10000;39;5;5;"PCA";0,084850233264832
"1396";10000;39;5;5;"SPCA";0,0590724191874887
"1397";10000;39;5;10;"PCA";0,039551173212153
"1398";10000;39;5;10;"SPCA";0,0543605236464677
"1399";10000;40;5;3;"PCA";1,4455417965112
"1400";10000;40;5;3;"SPCA";0,0581315708784462
"1401";10000;40;5;5;"PCA";0,0772223718692338
"1402";10000;40;5;5;"SPCA";0,0560533378764983
"1403";10000;40;5;10;"PCA";0,0377042741515237
"1404";10000;40;5;10;"SPCA";0,0557782185733704
"1405";500;2;10;3;"PCA";66,3827133052851
"1406";500;2;10;3;"SPCA";3,41666137707652
"1407";500;2;10;5;"PCA";7,7281634415486
"1408";500;2;10;5;"SPCA";2,94122426030073
"1409";500;2;10;10;"PCA";3,17345142004489
"1410";500;2;10;10;"SPCA";2,8937285029343
"1411";500;3;10;3;"PCA";17,8252239648389
"1412";500;3;10;3;"SPCA";1,12001480479915
"1413";500;3;10;5;"PCA";2,40739324624622
"1414";500;3;10;5;"SPCA";1,07534568692584
"1415";500;3;10;10;"PCA";1,26366087647339
"1416";500;3;10;10;"SPCA";1,12815441623003
"1417";500;4;10;3;"PCA";10,5320422206566
"1418";500;4;10;3;"SPCA";0,660406773208036
"1419";500;4;10;5;"PCA";1,54908615792889
"1420";500;4;10;5;"SPCA";0,653499127838334
"1421";500;4;10;10;"PCA";0,705652041129804
"1422";500;4;10;10;"SPCA";0,657337207945529
"1423";500;5;10;3;"PCA";7,58145401976867
"1424";500;5;10;3;"SPCA";0,477835951347509
"1425";500;5;10;5;"PCA";1,22919090293273
"1426";500;5;10;5;"SPCA";0,453032427758572
"1427";500;5;10;10;"PCA";0,469711677288921
"1428";500;5;10;10;"SPCA";0,459057735865017
"1429";500;6;10;3;"PCA";5,99269220293371
"1430";500;6;10;3;"SPCA";0,374998852281227
"1431";500;6;10;5;"PCA";0,829863770671812
"1432";500;6;10;5;"SPCA";0,384961836150497
"1433";500;6;10;10;"PCA";0,366663598390867
"1434";500;6;10;10;"SPCA";0,378015762342418
"1435";500;7;10;3;"PCA";4,93781685972724
"1436";500;7;10;3;"SPCA";0,308437391354995
"1437";500;7;10;5;"PCA";0,616935562959015
"1438";500;7;10;5;"SPCA";0,311548568101697
"1439";500;7;10;10;"PCA";0,287643841919717
"1440";500;7;10;10;"SPCA";0,304875151930283
"1441";500;8;10;3;"PCA";3,20630970923121
"1442";500;8;10;3;"SPCA";0,254208127213803
"1443";500;8;10;5;"PCA";0,605779996485737
"1444";500;8;10;5;"SPCA";0,282619550401188
"1445";500;8;10;10;"PCA";0,243437549429095
"1446";500;8;10;10;"SPCA";0,260076879097882
"1447";500;9;10;3;"PCA";2,73709059745597
"1448";500;9;10;3;"SPCA";0,234424310417048
"1449";500;9;10;5;"PCA";0,435587220791082
"1450";500;9;10;5;"SPCA";0,231096544035094
"1451";500;9;10;10;"PCA";0,215414496838622
"1452";500;9;10;10;"SPCA";0,229612831809853
"1453";500;10;10;3;"PCA";2,92365624224927
"1454";500;10;10;3;"SPCA";0,199447300143172
"1455";500;10;10;5;"PCA";0,368345959230385
"1456";500;10;10;5;"SPCA";0,203358051781161
"1457";500;10;10;10;"PCA";0,188776479244512
"1458";500;10;10;10;"SPCA";0,201616657944732
"1459";500;11;10;3;"PCA";2,73063796522659
"1460";500;11;10;3;"SPCA";0,192113657480217
"1461";500;11;10;5;"PCA";0,360003580995804
"1462";500;11;10;5;"SPCA";0,185538610779944
"1463";500;11;10;10;"PCA";0,172792344212734
"1464";500;11;10;10;"SPCA";0,192589357006481
"1465";500;12;10;3;"PCA";2,81948909283798
"1466";500;12;10;3;"SPCA";0,186227968105781
"1467";500;12;10;5;"PCA";0,305137008651274
"1468";500;12;10;5;"SPCA";0,173076843048156
"1469";500;12;10;10;"PCA";0,153617510332369
"1470";500;12;10;10;"SPCA";0,161988137548425
"1471";500;13;10;3;"PCA";1,83017479600214
"1472";500;13;10;3;"SPCA";0,150516847027918
"1473";500;13;10;5;"PCA";0,284369631147319
"1474";500;13;10;5;"SPCA";0,152454944081005
"1475";500;13;10;10;"PCA";0,145180340312745
"1476";500;13;10;10;"SPCA";0,158410882187596
"1477";500;14;10;3;"PCA";1,62576728414164
"1478";500;14;10;3;"SPCA";0,150937198351495
"1479";500;14;10;5;"PCA";0,249048840394887
"1480";500;14;10;5;"SPCA";0,153057194108399
"1481";500;14;10;10;"PCA";0,132989926922646
"1482";500;14;10;10;"SPCA";0,147499517824573
"1483";500;15;10;3;"PCA";1,39323704192001
"1484";500;15;10;3;"SPCA";0,134567987499284
"1485";500;15;10;5;"PCA";0,268323624717403
"1486";500;15;10;5;"SPCA";0,140247330139374
"1487";500;15;10;10;"PCA";0,12194794089723
"1488";500;15;10;10;"SPCA";0,132315766444747
"1489";500;16;10;3;"PCA";1,44470574909778
"1490";500;16;10;3;"SPCA";0,122489730615385
"1491";500;16;10;5;"PCA";0,21561545153619
"1492";500;16;10;5;"SPCA";0,132359579323154
"1493";500;16;10;10;"PCA";0,111981888302609
"1494";500;16;10;10;"SPCA";0,130436895665376
"1495";500;17;10;3;"PCA";1,51877128937957
"1496";500;17;10;3;"SPCA";0,120063938818882
"1497";500;17;10;5;"PCA";0,203965184960993
"1498";500;17;10;5;"SPCA";0,12333145882587
"1499";500;17;10;10;"PCA";0,106520417754362
"1500";500;17;10;10;"SPCA";0,122681557567557
"1501";500;18;10;3;"PCA";1,28138074445163
"1502";500;18;10;3;"SPCA";0,116320031007852
"1503";500;18;10;5;"PCA";0,171805303306458
"1504";500;18;10;5;"SPCA";0,118726584339445
"1505";500;18;10;10;"PCA";0,0932861629776899
"1506";500;18;10;10;"SPCA";0,117953769183003
"1507";500;19;10;3;"PCA";0,899515043575421
"1508";500;19;10;3;"SPCA";0,11441087902761
"1509";500;19;10;5;"PCA";0,164725094553677
"1510";500;19;10;5;"SPCA";0,108895242216965
"1511";500;19;10;10;"PCA";0,0933620130078001
"1512";500;19;10;10;"SPCA";0,115588516343618
"1513";500;20;10;3;"PCA";1,18245996816202
"1514";500;20;10;3;"SPCA";0,106786089466036
"1515";500;20;10;5;"PCA";0,277295742310459
"1516";500;20;10;5;"SPCA";0,10477939488835
"1517";500;20;10;10;"PCA";0,0866007693064276
"1518";500;20;10;10;"SPCA";0,106946707617355
"1519";500;21;10;3;"PCA";1,07673322931091
"1520";500;21;10;3;"SPCA";0,104366903344062
"1521";500;21;10;5;"PCA";0,170130055884372
"1522";500;21;10;5;"SPCA";0,107001955269749
"1523";500;21;10;10;"PCA";0,0796782677746185
"1524";500;21;10;10;"SPCA";0,104392284514651
"1525";500;22;10;3;"PCA";1,30960661160097
"1526";500;22;10;3;"SPCA";0,097023306740008
"1527";500;22;10;5;"PCA";0,147327003909171
"1528";500;22;10;5;"SPCA";0,10003538845962
"1529";500;22;10;10;"PCA";0,0793380139632941
"1530";500;22;10;10;"SPCA";0,0979702727650398
"1531";500;23;10;3;"PCA";1,06609479643179
"1532";500;23;10;3;"SPCA";0,0951908921078575
"1533";500;23;10;5;"PCA";0,160503621282054
"1534";500;23;10;5;"SPCA";0,098315400114765
"1535";500;23;10;10;"PCA";0,076799080370814
"1536";500;23;10;10;"SPCA";0,0913468346613038
"1537";500;24;10;3;"PCA";1,07291503279278
"1538";500;24;10;3;"SPCA";0,0909253906542678
"1539";500;24;10;5;"PCA";0,137955385739616
"1540";500;24;10;5;"SPCA";0,0910641432477931
"1541";500;24;10;10;"PCA";0,0666912979462762
"1542";500;24;10;10;"SPCA";0,0888291003141893
"1543";500;25;10;3;"PCA";1,15115842729469
"1544";500;25;10;3;"SPCA";0,0856221598136553
"1545";500;25;10;5;"PCA";0,11583611405205
"1546";500;25;10;5;"SPCA";0,0855086850728371
"1547";500;25;10;10;"PCA";0,0655526815814486
"1548";500;25;10;10;"SPCA";0,0842711201988672
"1549";500;26;10;3;"PCA";0,851930645737467
"1550";500;26;10;3;"SPCA";0,0809106568073564
"1551";500;26;10;5;"PCA";0,124975697982506
"1552";500;26;10;5;"SPCA";0,0833710645110328
"1553";500;26;10;10;"PCA";0,0644922324642182
"1554";500;26;10;10;"SPCA";0,0847999856264683
"1555";500;27;10;3;"PCA";0,643622629492361
"1556";500;27;10;3;"SPCA";0,0820995606869254
"1557";500;27;10;5;"PCA";0,135874419969087
"1558";500;27;10;5;"SPCA";0,0828444704783878
"1559";500;27;10;10;"PCA";0,0587913111881647
"1560";500;27;10;10;"SPCA";0,0815449439595286
"1561";500;28;10;3;"PCA";0,942462154453202
"1562";500;28;10;3;"SPCA";0,0776733927241544
"1563";500;28;10;5;"PCA";0,124110622458983
"1564";500;28;10;5;"SPCA";0,0775705654205042
"1565";500;28;10;10;"PCA";0,0596027919969948
"1566";500;28;10;10;"SPCA";0,0743632528210712
"1567";500;29;10;3;"PCA";0,568789681814443
"1568";500;29;10;3;"SPCA";0,0758728074547368
"1569";500;29;10;5;"PCA";0,114029047158155
"1570";500;29;10;5;"SPCA";0,0753541132446911
"1571";500;29;10;10;"PCA";0,0550582852977997
"1572";500;29;10;10;"SPCA";0,0715040118320716
"1573";500;30;10;3;"PCA";1,15377945505529
"1574";500;30;10;3;"SPCA";0,0720021654563377
"1575";500;30;10;5;"PCA";0,100773620610746
"1576";500;30;10;5;"SPCA";0,0731354006447793
"1577";500;30;10;10;"PCA";0,0542297168854368
"1578";500;30;10;10;"SPCA";0,0701879878939856
"1579";500;31;10;3;"PCA";0,776322976325166
"1580";500;31;10;3;"SPCA";0,0687970385524326
"1581";500;31;10;5;"PCA";0,101276170604851
"1582";500;31;10;5;"SPCA";0,0714870823034048
"1583";500;31;10;10;"PCA";0,0518762520076987
"1584";500;31;10;10;"SPCA";0,0712654144074951
"1585";500;32;10;3;"PCA";0,591795559274026
"1586";500;32;10;3;"SPCA";0,069566957192291
"1587";500;32;10;5;"PCA";0,128003040974928
"1588";500;32;10;5;"SPCA";0,0675511958443501
"1589";500;32;10;10;"PCA";0,052267690201193
"1590";500;32;10;10;"SPCA";0,0707149910240132
"1591";500;33;10;3;"PCA";0,621797229066487
"1592";500;33;10;3;"SPCA";0,0642805539225053
"1593";500;33;10;5;"PCA";0,101832451745011
"1594";500;33;10;5;"SPCA";0,0650295148453604
"1595";500;33;10;10;"PCA";0,0503716713414666
"1596";500;33;10;10;"SPCA";0,0667640125821667
"1597";500;34;10;3;"PCA";0,409758748449194
"1598";500;34;10;3;"SPCA";0,0653191035230537
"1599";500;34;10;5;"PCA";0,0931315614471003
"1600";500;34;10;5;"SPCA";0,0651687056505664
"1601";500;34;10;10;"PCA";0,049198278724533
"1602";500;34;10;10;"SPCA";0,0672844670945478
"1603";500;35;10;3;"PCA";0,443017853330006
"1604";500;35;10;3;"SPCA";0,0613044577911997
"1605";500;35;10;5;"PCA";0,0859179536774712
"1606";500;35;10;5;"SPCA";0,0611952221540294
"1607";500;35;10;10;"PCA";0,0450696397402897
"1608";500;35;10;10;"SPCA";0,060579068593298
"1609";500;36;10;3;"PCA";0,650497776627642
"1610";500;36;10;3;"SPCA";0,0622295918283468
"1611";500;36;10;5;"PCA";0,0872733833373235
"1612";500;36;10;5;"SPCA";0,0600774531056078
"1613";500;36;10;10;"PCA";0,0458579349716604
"1614";500;36;10;10;"SPCA";0,0612197647935364
"1615";500;37;10;3;"PCA";0,724599898680407
"1616";500;37;10;3;"SPCA";0,0613046973877077
"1617";500;37;10;5;"PCA";0,0814471701382481
"1618";500;37;10;5;"SPCA";0,0578579112260606
