"";"n";"lambda";"p";"df";"method";"cov_2norm"
"226";500;39;3;5;"SPCA";0,063146248025291
"227";500;39;3;10;"PCA";0,0365635685892883
"228";500;39;3;10;"SPCA";0,0610413704638865
"229";500;40;3;3;"PCA";0,365494872849412
"230";500;40;3;3;"SPCA";0,0651442620516891
"231";500;40;3;5;"PCA";0,0700340162446227
"232";500;40;3;5;"SPCA";0,0632201482952638
"233";500;40;3;10;"PCA";0,0374500257598555
"234";500;40;3;10;"SPCA";0,0649878089976021
"235";1000;2;3;3;"PCA";32,6226776078432
"236";1000;2;3;3;"SPCA";3,58534317130411
"237";1000;2;3;5;"PCA";5,72286593182073
"238";1000;2;3;5;"SPCA";3,60180318435638
"239";1000;2;3;10;"PCA";2,80131763088961
"240";1000;2;3;10;"SPCA";3,43290717020764
"241";1000;3;3;3;"PCA";13,3294076619721
"242";1000;3;3;3;"SPCA";1,43115135804461
"243";1000;3;3;5;"PCA";2,0543529010707
"244";1000;3;3;5;"SPCA";1,42387321784543
"245";1000;3;3;10;"PCA";1,08261880665779
"246";1000;3;3;10;"SPCA";1,38262708922407
"247";1000;4;3;3;"PCA";8,0874463149941
"248";1000;4;3;3;"SPCA";0,875678980525554
"249";1000;4;3;5;"PCA";1,14519914082525
"250";1000;4;3;5;"SPCA";0,82055110106187
"251";1000;4;3;10;"PCA";0,610502872942863
"252";1000;4;3;10;"SPCA";0,860696052443437
"253";1000;5;3;3;"PCA";6,06289560629647
"254";1000;5;3;3;"SPCA";0,629341220319347
"255";1000;5;3;5;"PCA";0,927451423341432
"256";1000;5;3;5;"SPCA";0,595174178442945
"257";1000;5;3;10;"PCA";0,433266013063023
"258";1000;5;3;10;"SPCA";0,56157640215023
"259";1000;6;3;3;"PCA";6,89155599830882
"260";1000;6;3;3;"SPCA";0,425623783244658
"261";1000;6;3;5;"PCA";0,710313766657562
"262";1000;6;3;5;"SPCA";0,462624830006547
"263";1000;6;3;10;"PCA";0,3489161003585
"264";1000;6;3;10;"SPCA";0,510489681682538
"265";1000;7;3;3;"PCA";3,40368979220521
"266";1000;7;3;3;"SPCA";0,361245113869663
"267";1000;7;3;5;"PCA";0,583952389171404
"268";1000;7;3;5;"SPCA";0,400209953046859
"269";1000;7;3;10;"PCA";0,257931503837404
"270";1000;7;3;10;"SPCA";0,363109888365168
"271";1000;8;3;3;"PCA";3,32918953150017
"272";1000;8;3;3;"SPCA";0,318648531348319
"273";1000;8;3;5;"PCA";0,438460491099979
"274";1000;8;3;5;"SPCA";0,32103472639798
"275";1000;8;3;10;"PCA";0,21177849430528
"276";1000;8;3;10;"SPCA";0,320080045932463
"277";1000;9;3;3;"PCA";2,91521478316329
"278";1000;9;3;3;"SPCA";0,274630728825149
"279";1000;9;3;5;"PCA";0,364525437532281
"280";1000;9;3;5;"SPCA";0,263315567859815
"281";1000;9;3;10;"PCA";0,186245079490304
"282";1000;9;3;10;"SPCA";0,272569023402424
"283";1000;10;3;3;"PCA";2,16792208615111
"284";1000;10;3;3;"SPCA";0,253670282891705
"285";1000;10;3;5;"PCA";0,366952667935635
"286";1000;10;3;5;"SPCA";0,241406869856368
"287";1000;10;3;10;"PCA";0,1632765065121
"288";1000;10;3;10;"SPCA";0,223562303778386
"289";1000;11;3;3;"PCA";1,78111352468459
"290";1000;11;3;3;"SPCA";0,22145913407033
"291";1000;11;3;5;"PCA";0,281198544684819
"292";1000;11;3;5;"SPCA";0,209791165805036
"293";1000;11;3;10;"PCA";0,143509798049616
"294";1000;11;3;10;"SPCA";0,211772892185512
"295";1000;12;3;3;"PCA";1,5506014879671
"296";1000;12;3;3;"SPCA";0,194417532741449
"297";1000;12;3;5;"PCA";0,266357863664193
"298";1000;12;3;5;"SPCA";0,194782225368691
"299";1000;12;3;10;"PCA";0,138996801407457
"300";1000;12;3;10;"SPCA";0,193486831114236
"301";1000;13;3;3;"PCA";1,43878233814448
"302";1000;13;3;3;"SPCA";0,169850449548149
"303";1000;13;3;5;"PCA";0,297393237474188
"304";1000;13;3;5;"SPCA";0,177152279177599
"305";1000;13;3;10;"PCA";0,126077569916839
"306";1000;13;3;10;"SPCA";0,192591841977766
